cusip,issuer_name,class_title,value_usd,ssh_prnamt,ssh_prnamt_type,put_call,investment_discretion,other_managers,voting_authority_sole,voting_authority_shared,voting_authority_none
69351T106,PPL CORP,COM,23252240.0,0,,,SOLE,,sole,shared,none
74164F103,PRIMORIS SVCS CORP,COM,21891352.0,0,,,SOLE,,sole,shared,none
806857108,SCHLUMBERGER LTD,COM STK,71060000.0,0,,Put,SOLE,,sole,shared,none
81369Y886,SELECT SECTOR SPDR TR,SBI INT-UTILS,78850000.0,0,,Put,SOLE,,sole,shared,none
780259305,SHELL PLC,SPON ADS,62614023.0,0,,,SOLE,,sole,shared,none
83422N105,SOLID POWER INC,CLASS A COM,3738383.0,0,,,SOLE,,sole,shared,none
85423L103,STANDARDAERO INC,COM,13986000.0,0,,,SOLE,,sole,shared,none
86745K104,SUNNOVA ENERGY INTL INC.,COM,333642.0,0,,,SOLE,,sole,shared,none
87484T108,TALOS ENERGY INC,COM,3888000.0,0,,Put,SOLE,,sole,shared,none
87507T101,TAMBORAN RES CORP,COM,7569901.0,0,,,SOLE,,sole,shared,none
87807B107,TC ENERGY CORP,COM,25475224.0,0,,,SOLE,,sole,shared,none
G87110105,TECHNIPFMC PLC,COM,35334699.0,0,,,SOLE,,sole,shared,none
878742204,TECK RESOURCES LTD,CL B,12007146.0,0,,,SOLE,,sole,shared,none
89346D107,TRANSALTA CORP,COM,15681018.0,0,,,SOLE,,sole,shared,none
69349H107,TXNM ENERGY INC,COM,15347370.0,0,,,SOLE,,sole,shared,none
69349H107,TXNM ENERGY INC,COM,13370000.0,0,,Call,SOLE,,sole,shared,none
92333F101,VENTURE GLOBAL INC,COM CL A,4120000.0,0,,Put,SOLE,,sole,shared,none
927959106,VIPER ENERGY INC,CL A,23654491.0,0,,,SOLE,,sole,shared,none
98389B100,XCEL ENERGY INC,COM,18815486.0,0,,,SOLE,,sole,shared,none
65341B106,XPLR INFRASTRUCTURE LP,COM UNIT PART IN,7019864.0,0,,,SOLE,,sole,shared,none
